ticket_id,timestamp,original_language,original_ticket,english_ticket,engineer_reply,translated_reply
BC8F6C59,2026-06-12 19:53:37,Telugu,"నా VPN కనెక్ట్ అవడం లేదు, దయచేసి సహాయం చేయండి.","My VPN is not connecting, please help.",Please restart your VPN client and try again.,దయచేసి మీ VPN క్లయింట్‌ను పునఃప్రారంభించి మళ్ళీ ప్రయత్నించండి.
A401D2F8,2026-06-12 19:53:37,Hindi,मेरा Outlook खुल नहीं रहा है।,My Outlook is not opening.,Please clear the Outlook cache and restart the application.,कृपया Outlook कैश साफ़ करें और एप्लिकेशन को पुनः आरंभ करें।
TKT-9901,2026-06-12 19:53:37,Tamil,Server இணைப்பு தோல்வியடைகிறது.,Server connection is failing.,The Server issue has been escalated to the infrastructure team.,Server சிக்கல் உள்கட்டமைப்பு குழுவிடம் அனுப்பப்பட்டது.
0045E00F,2026-06-12 19:53:37,Kannada,Database ಸಂಪರ್ಕ ವಿಫಲವಾಗಿದೆ.,Database connection has failed.,The Database server will be restored within 30 minutes.,Database ಸರ್ವರ್ 30 ನಿಮಿಷಗಳಲ್ಲಿ ಮರುಸ್ಥಾಪಿಸಲಾಗುವುದು.
43CB3C70,2026-06-12 22:24:23,Telugu,"నేను చేసిన ఫిర్యాదుకు ఇంకా పరిష్కారం దొరకలేదు, దీనికి ఎంత సమయం పడుతుంది?","My complaint is still not resolved, how long will it take?",we are sorry to hear this,ఇది విన్నందుకు మేము చింతిస్తున్నాము
5A7FBB9D,2026-06-12 23:10:05,Telugu,నా VPN పని చేయడం లేదు,My VPN is not working,yah please check network,అవును దయచేసి నెట్‌వర్క్‌ని తనిఖీ చేయండి
T1,2026-06-13 00:06:51,Telugu,నా VPN పని చేయడం లేదు,My VPN is not working,oh we will solve,ఓహ్ మేము పరిష్కరిస్తాము
T2,2026-06-13 00:07:02,English,My server is down urgently fix it,My server is down urgently fix it,yeah will do that,yeah will do that
T3,2026-06-13 00:07:24,Hindi,मेरा Outlook काम नहीं कर रहा है,My Outlook is not working,please contact technical team,कृपया तकनीकी टीम से संपर्क करें
T1,2026-06-13 00:16:06,Telugu,నా VPN పని చేయడం లేదు,My VPN is not working,Thank you for contacting support. We have received your request and our team will resolve the issue within 24 hours. Please do not hesitate to reach out if you need further assistance.,మద్దతును సంప్రదించినందుకు ధన్యవాదాలు. మేము మీ అభ్యర్థనను స్వీకరించాము మరియు మా బృందం 24 గంటల్లో సమస్యను పరిష్కరిస్తుంది. మీకు మరింత సహాయం కావాలంటే దయచేసి సంప్రదించడానికి వెనుకాడకండి.
T2,2026-06-13 00:16:27,English,My server is down urgently fix it,My server is down urgently fix it,Thank you for contacting support. We have received your request and our team will resolve the issue within 24 hours. Please do not hesitate to reach out if you need further assistance.,Thank you for contacting support. We have received your request and our team will resolve the issue within 24 hours. Please do not hesitate to reach out if you need further assistance.
T3,2026-06-13 00:16:55,Hindi,मेरा Outlook काम नहीं कर रहा है,My Outlook is not working,Thank you for contacting support. We have received your request and our team will resolve the issue within 24 hours. Please do not hesitate to reach out if you need further assistance.,समर्थन से संपर्क करने के लिए धन्यवाद. हमें आपका अनुरोध प्राप्त हुआ है और हमारी टीम 24 घंटे के भीतर समस्या का समाधान करेगी। यदि आपको और सहायता की आवश्यकता हो तो कृपया संपर्क करने में संकोच न करें।
T1,2026-06-13 00:17:22,Telugu,నా VPN పని చేయడం లేదు,My VPN is not working,sorry to hear this,ఇది విన్నందుకు క్షమించండి
